NOME_LISTA_OFICIAL;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SCORE
Colégio Estadual Cívico Militar Doutor João da Rocha Chueiri;41047800;JOAO DA R CHUEIRI C E CM DREF M P;Ribeirão Claro;Estadual;0.96
Colégio Estadual Cívico Militar Ruth Martinez Correa;41045610;RUTH M CORREA C E CMEF M PROF;Ribeirão do Pinhal;Estadual;1.0
Colégio Estadual Cívico-Militar Edith de Souza Prado de Oliveira;41048326;EDITH S PRADO DE OLIVEIRA C E CMEF M;Santo Antônio da Platina;Estadual;1.09
Colégio Cívico-militar Moralina Eleutério;41048563;MORALINA ELEUTERIO C E CM DONAEF M;Santo Antônio da Platina;Estadual;1.2
Escola Estadual Stella Maris;41042778;STELLA MARIS C E CMEF M;Andirá;Estadual;1.267
Colégio Estadual Dona Carolina Lupion;41046552;CAROLINA LUPION C E CM DONAEF M;Cambará;Estadual;1.2
Colégio Estadual Cívico Militar Anésio de Almeida Leite;41046960;ANESIO DE A LEITE C E CMEF M PROFIS;Jacarezinho;Estadual;1.0
Antonio Raminelli, C E C M -E F M P;41028430;ANTONIO RAMINELLI C E CMEF M PROFIS;Cambé;Estadual;1.267
Colégio Estadual Cívico Militar Érico Veríssimo - Ensino fundamental e médio;41028570;ERICO VERISSIMO C E CMEF M PROFIS;Cambé;Estadual;0.773
11 De Outubro, C E-Ef M;41028996;11 DE OUTUBRO C E CMEF M PROFIS;Cambé;Estadual;1.2
Basilio De Lucca, C E-Ef M;41029151;BASILIO DE LUCCA C E CMEF M;Ibiporã;Estadual;1.267
Ulysses Guimaraes, E E-Ef;41144252;ULYSSES GUIMARAES C E CMEF M;Ibiporã;Estadual;1.267
Colégio Estadual Cívico-Militar Professora Adelia Dionisia Barbosa;41029500;ADELIA D BARBOSA C E CM PROFAEF M P;Londrina;Estadual;0.96
Josemaria Escriva, E E Mons-Ef;41030451;JOSEMARIA ESCRIVA C E CM MONSEF M;Londrina;Estadual;0.96
Fernando De B Pinto, CECM Dr-EfEm;41030966;FERNANDO DE B PINTO C E CM DREF M;Londrina;Estadual;0.833
Tsuru Oguido, C E C-M - Ef M;41033280;TSURU OGUIDO C E CMEF M;Londrina;Estadual;1.267
Vani Ruiz Viessi;41033370;VANI RUIZ VIESSI C E CM PROFAEF M;Londrina;Estadual;1.24
Colégio Estadual Cívico Militar Vista Bela;41159586;VISTA BELA C E CMEF M PROFIS;Londrina;Estadual;1.267
Francisco Villanueva,C E Prof-E F M P;41026632;FRANCISCO F BASTOS C E CMEF M PROFIS;Arapongas;Estadual;0.8
Colégio Estadual Presidente Kennedy;41077776;KENNEDY C E C CM PRESEF M;Serranópolis do Iguaçu;Estadual;1.133
Jose Alexandre Chiarelli, Ce Prof-Ef M;41152913;JOSE ALEX CHIARELLI C E CM PROFEF M P;Rolândia;Estadual;0.814
Colégio Estadual Cívico-Militar Monteiro Lobato;41044363;MONTEIRO LOBATO C E CMEF M;Cornélio Procópio;Estadual;1.267
Escola Estadual Anastácio Cerezine;41021100;ANASTACIO CEREZINE E E CMEF;Alvorada do Sul;Estadual;1.267
Lauro G Da V Pessoa, E E Prof-Ef;41031709;LAURO G DA V PESSOA E E CM PROFEF;Londrina;Estadual;1.2
Colégio Estadual Newton Guimarães;41032225;NEWTON GUIMARAES C E CM PROFEF M;Londrina;Estadual;1.2
Colégio Estadual Cívico-Militar Barão do Rio Branco;41032853;RIO BRANCO C E CM BAR DOEF M;Londrina;Estadual;1.2
João Rodrigues Da Silva, C E Prof-Ef M;41358872;JOAO R DA SILVA E E CM PROFEF;Londrina;Estadual;0.96
Andrea Nuzzi, C E Maestro-Ef M;41028406;ANDREA NUZZI C E CM MAESTROEF M P;Cambé;Estadual;0.96
Colégio Estadual Attílio Codato - Ensino Fundamental e Médio;41028457;ATTILIO CODATO C E CMEF M;Cambé;Estadual;0.773
Colégio Civíco-Militar Estadual Professora Helena Kolody;41028732;HELENA KOLODY C E CM PROFEF M;Cambé;Estadual;1.2
Manuel Bandeira, C E-Ef Em;41028902;MANUEL BANDEIRA C E CMEF M PROFIS;Cambé;Estadual;1.0
Colégio Estadual Carlos de Almeida;41030125;CARLOS DE ALMEIDA C E CMEF M PROFIS;Londrina;Estadual;1.267
Escola Estadual Professora Célia Moraes Oliveira;41030265;CELIA M DE OLIVEIRA C E CM PROFEF M P;Londrina;Estadual;0.96
